Event Name (standardized),Barrie,Calgary,Edmonton,Fredericton,Halifax,Hamilton,Kitchener/Waterloo,London,Montreal,N/A,Ottawa,Regina,Saint John,Saskatoon,St. John's,Sydney,Toronto,Vancouver,Victoria,Waterloo,Whitehorse,Winnipeg,Total
Intro to HTML & CSS,0.0,40.0,81.0,0.0,0.0,30.0,51.0,28.0,53.0,0.0,0.0,12.0,0.0,57.0,36.0,0.0,668.0,57.0,0.0,0.0,0.0,37.0,1150.0
National Learn to Code Day 2014 Intro to HTML & CSS: Building a Multi-Page Website,29.0,41.0,43.0,17.0,50.0,34.0,0.0,0.0,51.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,169.0,65.0,81.0,35.0,0.0,0.0,705.0
WordPress for Beginners,28.0,0.0,38.0,0.0,28.0,0.0,0.0,0.0,37.0,0.0,52.0,0.0,0.0,0.0,38.0,0.0,295.0,52.0,0.0,0.0,0.0,0.0,568.0
Girls Learning Code Day: Intro to HTML & CSS! (ages 8-13),29.0,0.0,0.0,31.0,45.0,26.0,0.0,18.0,38.0,0.0,42.0,0.0,0.0,29.0,0.0,0.0,0.0,33.0,79.0,30.0,0.0,54.0,454.0
Intro to JavaScript,0.0,19.0,0.0,27.0,0.0,24.0,0.0,0.0,51.0,0.0,32.0,0.0,0.0,26.0,0.0,0.0,188.0,46.0,0.0,0.0,0.0,0.0,413.0
Intro to Python,0.0,27.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,154.0
Intro to Photoshop,0.0,30.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,146.0
Intro to HTML5 & Responsive Design,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,10.0,0.0,0.0,130.0
CSS Fundamentals for Beginners,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,121.0
CSS Fundamentals,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,48.0,0.0,0.0,0.0,112.0
Intro to Web Design with Photoshop,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,43.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
Intro to Web Design,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,106.0
Girls Learning Code Mother- Daughter HTML & CSS,20.0,0.0,0.0,20.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,99.0
Intro to HTML & CSS: Building a One Page Website,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,88.0
Intro to Ruby,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,21.0,0.0,0.0,0.0,0.0,82.0
Intro to jQuery,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,19.0,0.0,0.0,0.0,0.0,78.0
Weekday Intro to HTML & CSS: Building a Multi-Page Website,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,78.0
Intro to HTML5 and Responsive Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,74.0
Intro to Photoshop & Illustrator,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,68.0
Creative Coding and Data Visualization with Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0
Nov 15th: Creative Coding and Data Visualization with Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0
Intro to Drupal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,59.0
Intro to Photoshop and Illustrator,16.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0
Girls Learning Code: Intro to Arduino,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Intro to Mobile Web,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
July 21 & 23: WordPress for Beginners,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
Ladies Learning Code Instructor & Mentor Appreciation Night,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,47.0
Girls Learning Code Day (ages 8-13): Intro to HTML & CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0
Girls Learning Code Day: Intro to HTML & CSS for Teens! (ages 13-17),0.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
Intro to Mobile Web --> HTML5 and Responsive Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,38.0
Intro to Photoshop: Photo Editing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,37.0
Intro to Photo Editing with Photoshop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,36.0
Kids Learning Code: Graphics for Games with Pixlr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
Kids Learning Code at Williamsburg Public School (ages 8-13),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
National Learn to Code Day 2014 Kids Learning Code 9-12 Edition Intro to HTML & CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0
Weekday CSS Fundamentals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0
Weekday Intro to jQuery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0
Kids Learning Code PA Day Intro to HTML & CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
Kids Learning Code PA Day: Game Design with Scratch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
Girls Learning Code Game Design with Scratch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0
Kids Learning Code (ages 9-12) PA Day: Webmaking with HTML & CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0
Kids Learning Code (ages 9-12) PA Day: Game Design with Scratch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0
Kids Learning Code (ages 9-12): Intro to Robotics and Programming with Jade Robot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0
September 18: CSS Fundamentals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0
Kids Learning Code (ages 9-12): Circuits and Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0
Girls Learning Code HTML & CSS,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
National Learn to Code Day: Girls Learning Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0
Intro to Mobile Web -> HTML5 & Responsive Design,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Kids Learning Code (ages 13-16): Intro to Python,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0
CSS Fundamentals on National Learn to Code Day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0
Girls Learning Code Intro to Photoshop,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Girls Learning Code Game Design,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Intro to Video Editing,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Intro to Mobile Web [Responsive Design],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
PHP for WordPress,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Kids Learning Code: Intro to Makey Makey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Kids Learning Code at Nelson Mandela (ages 8-13),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Girls Learning Code: Digital Drawing at George Brown College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
